EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
301819,CALLOWAY CO.,NEW CONCORD,05/25/2011,2017,Tornado, ,EF0,0,0,50000,0,KY,CST-6, ,51005,C,35,PAH,0,0,NWS Storm Survey, ,0.39,50,3,N,3,NNE,NEW CONCORD,05/25/2011,2018,36.5903,-88.1422,36.5886,-88.1355,"About a dozen trees and several tree tops were snapped. One car was completely destroyed by a large fallen tree. Mostly minor damage occurred to a couple of homes or garages. At least one power line was downed. Peak wind speeds were estimated near 85 mph.","Numerous strong to severe thunderstorms occurred in the warm sector of a low pressure system over central Missouri. The air mass in the warm sector was very unstable, with afternoon mixed-layer cape values in the 2500 to 4000 j/kg range. A 65 to 75 knot mid level jet was located across Arkansas, with the nose of the jet moving into western Kentucky. This feature enhanced the lift and strong deep-layer shear already in place, creating an environment very favorable for supercells and tornadoes. A 40 to 55 knot low level jet across eastern Arkansas moved into western Kentucky during the evening, resulting in isolated tornadoes and widespread damaging winds.",11
303233,MUHLENBERG CO.,DRAKESBORO,05/25/2011,2045,Funnel Cloud, , ,0,0,0,0,KY,CST-6, ,51005,C,177,PAH,0,0,Fire Department/Rescue, , , ,0,N,0,N,DRAKESBORO,05/25/2011,2045,37.22,-87.05,37.22,-87.05,"","Numerous strong to severe thunderstorms occurred in the warm sector of a low pressure system over central Missouri. The air mass in the warm sector was very unstable, with afternoon mixed-layer cape values in the 2500 to 4000 j/kg range. A 65 to 75 knot mid level jet was located across Arkansas, with the nose of the jet moving into western Kentucky. This feature enhanced the lift and strong deep-layer shear already in place, creating an environment very favorable for supercells and tornadoes. A 40 to 55 knot low level jet across eastern Arkansas moved into western Kentucky during the evening, resulting in isolated tornadoes and widespread damaging winds.",12
313564,HENDERSON CO.,BASKETT,06/05/2011,955,Funnel Cloud, , ,0,0,0,0,KY,CST-6, ,52486,C,101,PAH,0,0,Public, , , ,2,ENE,2,ENE,BASKETT,06/05/2011,955,37.88,-87.44,37.88,-87.44,"The general public reported a funnel cloud along U.S. Highway 60 between Spottsville and the Daviess County line.","A mesoscale convective system that originated over the Mid-Mississippi Valley moved southeast across the Pennyrile region of western Kentucky. The system moved along the northern periphery of a 500 mb ridge that was centered over the Tennessee Valley and southern Plains.",13
308544,BRECKINRIDGE CO.,HARNED,06/19/2011,539,Tornado, ,EF2,0,0,50000,0,KY,CST-6, ,51801,C,27,LMK,0,0,NWS Storm Survey, ,1,60,0,S,1,ESE,HARNED,06/19/2011,542,37.7473,-86.4204,37.7467,-86.402,"The tornado first touched down at the west end of H Wilson Road as an EF-0, where around one dozen trees were snapped and uprooted.  A barn collapsed when an oak tree fell on it.  At the intersection of State Highway 79 and H Wilson Road, EF-2 damage occurred when a roof was torn from a home and thrown 60 yards.  A 30 by 50 foot barn was thrown 200 yards and metal sheeting was thrown 300 yards.  Several power poles were found leaning over State Highway 79.  This tornado dissipated after snapping and uprooting several trees between State Highway 79 and Harned Locust Hill Road.","A severe squall line moved east along the Ohio River west of Louisville during the early morning hours on June 19th. Along with widespread damaging winds, several tornadoes developed along the leading edge of the gust front across southern Indiana and Central Kentucky.",14
308545,BRECKINRIDGE CO.,LOCUST HILL,06/19/2011,543,Tornado, ,EF0,0,0,5000,0,KY,CST-6, ,51801,C,27,LMK,0,0,NWS Storm Survey, ,0.1,60,1,NW,1,NW,LOCUST HILL,06/19/2011,544,37.7413,-86.3876,37.7414,-86.3849,"This weak EF-0 Tornado was only briefly on the ground.  Along Route 1401, winds estimated at 80 mph tore roof panels off of a large well constructed barn and threw them 200 yards.","A severe squall line moved east along the Ohio River west of Louisville during the early morning hours on June 19th. Along with widespread damaging winds, several tornadoes developed along the leading edge of the gust front across southern Indiana and Central Kentucky.",15
308156,JEFFERSON CO.,LOUISVILLE,06/22/2011,1904,Tornado, ,EF2,0,0,400000,0,KY,EST-5, ,51756,C,111,LMK,0,0,NWS Storm Survey, ,1.2,120,2,S,1,WNW,AUDUBON PARK,06/22/2011,1907,38.1986,-85.7726,38.2045,-85.7515,"This tornado touched down just southwest of an area of horse barns on the south side of Churchill Downs. Five barns, which also contained apartments for many workers, had major sections of their roofs removed, with minor damage to several others. In the buildings most heavily damaged, parts of supporting walls made from cinder blocks collapsed.  Christ Church, located on the Churchill Downs property, also had roof and siding damage. After snapping trees and downing power lines for several blocks to the east of Churchill, the tornado crossed a large stadium parking lot, strengthening to low-end EF-2 intensity near the intersection of Floyd Street and Central Avenue. At this location, just 300 yards southeast of the University of Louisville's football stadium, a large industrial building was heavily damaged, with a collapsed 2-story cinder block wall and a 150-foot section of roof removed from the warehouse.  A 30' x 80' section of roof over an adjacent office building was also torn off.   The tornado downed several more trees and did minor roof damage to a Super 8 Motel and other office buildings before lifting north of the intersection of Crittenden Drive and Central Avenue near an entrance ramp onto Interstate 65. ||Despite the most heavily damaged Churchill Downs buildings being occupied by numerous racing horses and at least three workers at the time of the tornado, no injuries were sustained by either the animals or their handlers.  One man was in an upstairs room when the roof above him was ripped off, while two others were in in a ground-floor apartment where cinder blocks fell from an exterior wall.","A deep occluded closed low across the Upper Midwest brought a cold front and wind shift along the Ohio River during the early evening hours on June 22nd. Scattered storms developed to the west of Louisville during the late afternoon and intensified as they moved east into Jefferson County, Kentucky. Although instability was marginal, a jet streak aloft combined with directional wind shear closer the the surface allowed several low topped supercells to develop just to the west of Louisville. The first storm generated a tornado that damaged several horse barns at Churchill Downs and destroyed a large industrial building just southeast of the University of Louisville's football stadium.  A second rotating supercell tracked just to the south of the first storm, spawning three brief tornadoes along a west to east path in the eastern part of the Louisville Metro area.",16
308161,JEFFERSON CO.,STRATHMOOR MANOR,06/22/2011,2029,Tornado, ,EF1,0,0,150000,0,KY,EST-5, ,51756,C,111,LMK,0,0,NWS Storm Survey, ,1.9,150,1,S,1,SW,JEFFERSONTOWN,06/22/2011,2033,38.1906,-85.6192,38.1936,-85.581,"This tornado was the first of three separate touchdowns associated with a single supercell that tracked across the southern portion of Jefferson County.  Initially, this tornado touched down at EF-0 strength near the intersection of Nachand Lane and Nachand Spring Lane where minor shingle damage and snapped trees were surveyed. After moving into the Hurstbourne Woods subdivision, the twister damaged a locked pool gate and blew it 35 yards downwind. This subdivision sustained EF-1 damage with gutters, soffits, and siding from various structures deposited in trees. At 9407 Willowwood Way, roof damage was noted, along with many uprooted hardwood and softwood trees. After making a brief 25 degree northward turn near the end of its life, the tornado brought minor roof damage before lifting near the intersection of Lisa Lane and Calais Drive.","A deep occluded closed low across the Upper Midwest brought a cold front and wind shift along the Ohio River during the early evening hours on June 22nd. Scattered storms developed to the west of Louisville during the late afternoon and intensified as they moved east into Jefferson County, Kentucky. Although instability was marginal, a jet streak aloft combined with directional wind shear closer the the surface allowed several low topped supercells to develop just to the west of Louisville. The first storm generated a tornado that damaged several horse barns at Churchill Downs and destroyed a large industrial building just southeast of the University of Louisville's football stadium.  A second rotating supercell tracked just to the south of the first storm, spawning three brief tornadoes along a west to east path in the eastern part of the Louisville Metro area.",17
308169,JEFFERSON CO.,JEFFERSONTOWN,06/22/2011,2034,Tornado, ,EF2,0,0,175000,0,KY,EST-5, ,51756,C,111,LMK,0,0,NWS Storm Survey, ,1.6,100,1,SW,1,W,TUCKER STATION,06/22/2011,2037,38.1949,-85.5778,38.2016,-85.5492,"The public reported a second tornado touchdown near the same time and location where the first one ended.  After touching down just east of Saint Edward Catholic Church on Sue Helen Drive, this tornado uprooted trees and damaged the roofs of around one dozen homes along Saint Edwards Drive.  Damage also was surveyed along Charlane Parkway and Dell Road. At the corner of Maple Road and Galene Drive, a large section of an oak tree split and was driven into a wall at Tully School.  Low end EF-2 structural and roof damage was also noted at at the Good Samaritan Society Nursing Home.   Two vehicles in a parking lot were flipped and moved 25 feet. After briefly lifting, this tornado then damaged both Dillard's and Machinery Specialty's warehouses along Electron Drive.  The brick facades of both building were pushed out.  After throwing a small shed 30 yards near the Dillard's Warehouse, the twister lifted just near the intersection of Electron Drive and Ampere Drive.","A deep occluded closed low across the Upper Midwest brought a cold front and wind shift along the Ohio River during the early evening hours on June 22nd. Scattered storms developed to the west of Louisville during the late afternoon and intensified as they moved east into Jefferson County, Kentucky. Although instability was marginal, a jet streak aloft combined with directional wind shear closer the the surface allowed several low topped supercells to develop just to the west of Louisville. The first storm generated a tornado that damaged several horse barns at Churchill Downs and destroyed a large industrial building just southeast of the University of Louisville's football stadium.  A second rotating supercell tracked just to the south of the first storm, spawning three brief tornadoes along a west to east path in the eastern part of the Louisville Metro area.",18
308173,JEFFERSON CO.,TUCKER STATION,06/22/2011,2038,Tornado, ,EF1,0,0,75000,0,KY,EST-5, ,51756,C,111,LMK,0,0,NWS Storm Survey, ,3.5,60,1,W,2,WSW,EASTWOOD,06/22/2011,2045,38.2025,-85.5488,38.2162,-85.4847,"The last in a series of tornadoes spawned by the same storm touched down near the intersection of Electron and Ampere Drives, near the same location that the second twister lifted.  This tornado was intermittently on the ground for 3.5 miles, crossing Interstate 265 and lifting just east of 1600 South English Station Road.  Near the touchdown point, an air-conditioning unit was blown off the roof of JCK Enterprises. Several corporate buildings and warehouses on Electron Drive had roof and siding damage.  EF-1 damage to some steel framing and stucco was noted at the Oxmoor Collision Center and the RBI Corporation.  More than one dozen trees were uprooted around the Tucker House Bed and Breakfast on Tucker Station Road.  The public reported a rope like tornado lifting just west of Interstate 265 and touching down again near 1600 South English Station Road.  EF-0 damage was noted to several trees and a satellite dish at this location.","A deep occluded closed low across the Upper Midwest brought a cold front and wind shift along the Ohio River during the early evening hours on June 22nd. Scattered storms developed to the west of Louisville during the late afternoon and intensified as they moved east into Jefferson County, Kentucky. Although instability was marginal, a jet streak aloft combined with directional wind shear closer the the surface allowed several low topped supercells to develop just to the west of Louisville. The first storm generated a tornado that damaged several horse barns at Churchill Downs and destroyed a large industrial building just southeast of the University of Louisville's football stadium.  A second rotating supercell tracked just to the south of the first storm, spawning three brief tornadoes along a west to east path in the eastern part of the Louisville Metro area.",19
342875,HOPKINS CO.,WHITE PLAINS,09/25/2011,1925,Tornado, ,EF2,0,0,80000,0,KY,CST-6, ,57218,C,107,PAH,0,0,NWS Storm Survey, ,0.52,80,1,SSW,0,ESE,WHITE PLAINS,09/25/2011,1926,37.1725,-87.3822,37.1778,-87.3755,"This short-lived tornado occurred along Highway 813. One framed home and one mobile home were destroyed. There was minor damage to two framed homes. Four sheds were destroyed. Power lines were blown down. Several large trees were downed or uprooted. The destroyed mobile home was thrown about 30 feet into a tree. The lone resident of the mobile home was ejected, but he sustained no injuries requiring treatment. The destroyed framed home lost most of the roof, and bricks were shifted. Peak winds were estimated near 120 mph.","A surface low pressure center moved northeast from eastern Arkansas, passing across northwest Tennessee and into western Kentucky. A closed 500 mb low was centered over the Mid-Mississippi Valley. Along and east of the surface low pressure center track, scattered strong to severe thunderstorms were embedded within a large area of rain. The storms were aided by convergence in the exit region of an intense south-southwesterly low-level jet of around 50 knots. Upper-level divergence within the right entrance region of a jet streak over northern Indiana further enhanced the storms. A couple of isolated tornadoes and microbursts accompanied the storms.",20
342871,CHRISTIAN CO.,HERNDON,09/25/2011,1950,Tornado, ,EF1,0,0,40000,0,KY,CST-6, ,57218,C,47,PAH,0,0,NWS Storm Survey, ,1,100,2,NE,3,NE,HERNDON,09/25/2011,1951,36.7505,-87.5445,36.7607,-87.5317,"Two barns were damaged. One of the barns was nearly levelled. A pole barn lost one side and some roofing. Several trees were snapped or blown down, and several tree tops were snapped. Peak winds were estimated near 90 mph.","A surface low pressure center moved northeast from eastern Arkansas, passing across northwest Tennessee and into western Kentucky. A closed 500 mb low was centered over the Mid-Mississippi Valley. Along and east of the surface low pressure center track, scattered strong to severe thunderstorms were embedded within a large area of rain. The storms were aided by convergence in the exit region of an intense south-southwesterly low-level jet of around 50 knots. Upper-level divergence within the right entrance region of a jet streak over northern Indiana further enhanced the storms. A couple of isolated tornadoes and microbursts accompanied the storms.",21
354106,JEFFERSON CO.,INDIAN HILLS,01/17/2012,1112,Tornado, ,EF1,0,1,300000,0,KY,EST-5, ,59156,C,111,LMK,0,0,NWS Storm Survey, ,7.92,250,1,ENE,2,ENE,BALLARDSVILLE,01/17/2012,1117,38.2839,-85.6328,38.3325,-85.5005,"An EF-1 tornado with estimated winds of 95 mph did considerable damage along a nearly 8 mile path across the northeastern suburbs of Louisville. The twister first touched down just east of the intersection of Interstate 264 and Brownsboro Road.  It did considerable roof damage to many homes to the south of Brownsboro Road and snapped numerous large trees which toppled onto the heavily traveled roadway near Ten Broeck Way.  After briefly lifting over a shopping complex near the intersection of Brownsboro and Hurstbourne Roads, the tornado touched down again, tearing a large exterior wall from an indoor tennis facility, then flipped two semi trailers as it crossed Interstate 265, injuring the driver of one.  After crossing the interstate, it continued to skip northeast for another 4 miles into Oldham County, doing primarily roof damage in addition to snapping and uprooting taller trees. The last major damage occurred near the corner of Ballardsville Rd and Murphy Lane, where the roof of a large horse barn was partially torn off.","Low pressure moved across the southern Great Lakes during the morning hours on January 17th.  A strong cold front crossed southern Indiana during the early afternoon. Ahead of this boundary, a squall line fueled by temperatures in the lower 60s with dewpoints in the upper 50s moved across the Ohio River during the late morning. This line continued to the southeast, finally exiting central Kentucky near the lake Cumberland Area around mid-afternoon. This line of storms exhibited bowing segments and occasional mesovorticies that brought several tornadoes and scattered wind damage. The 9 tornadoes surveyed across both central Kentucky and southern Indiana made this episode the most prolific regional January tornado outbreak recorded.",22
354251,JEFFERSON CO.,BUECHEL,01/17/2012,1120,Tornado, ,EF1,0,0,50000,0,KY,EST-5, ,59156,C,111,LMK,0,0,NWS Storm Survey, ,0.5,90,2,ESE,2,E,BUECHEL,01/17/2012,1121,38.1721,-85.6041,38.1769,-85.5968,"An EF-1 tornado touched down just to the north of the intersection of Hurstbourne Parkway and Stony Brook Drive. It traveled northeast along Stony Brook Drive and lifted near the intersection of Stony Brook and Laverne Drive.  Numerous trees were snapped along it path.  Siding and shingles were blown off of multiple houses.  On Michael Edward Drive, a garage door was blown in on a detached garage. The roof of this house was lifted and shifted a foot.","Low pressure moved across the southern Great Lakes during the morning hours on January 17th.  A strong cold front crossed southern Indiana during the early afternoon. Ahead of this boundary, a squall line fueled by temperatures in the lower 60s with dewpoints in the upper 50s moved across the Ohio River during the late morning. This line continued to the southeast, finally exiting central Kentucky near the lake Cumberland Area around mid-afternoon. This line of storms exhibited bowing segments and occasional mesovorticies that brought several tornadoes and scattered wind damage. The 9 tornadoes surveyed across both central Kentucky and southern Indiana made this episode the most prolific regional January tornado outbreak recorded.",23
354254,SCOTT CO.,WHITE SULPHER,01/17/2012,1212,Tornado, ,EF1,0,0,30000,0,KY,EST-5, ,59156,C,209,LMK,0,0,NWS Storm Survey, ,0.45,75,2,E,2,E,WHITE SULPHER,01/17/2012,1213,38.1973,-84.6631,38.1982,-84.6545,"The tornado touched down at 338 Soards Road and moved east, lifting as it began to cross a pond.  A well-anchored 50 by 20 three bay barn was destroyed and scattered in three directions.  Another small barn was destroyed, with damage to a third structure. Numerous trees were blown down, snapped or uprooted. Fences were blown over.","Low pressure moved across the southern Great Lakes during the morning hours on January 17th.  A strong cold front crossed southern Indiana during the early afternoon. Ahead of this boundary, a squall line fueled by temperatures in the lower 60s with dewpoints in the upper 50s moved across the Ohio River during the late morning. This line continued to the southeast, finally exiting central Kentucky near the lake Cumberland Area around mid-afternoon. This line of storms exhibited bowing segments and occasional mesovorticies that brought several tornadoes and scattered wind damage. The 9 tornadoes surveyed across both central Kentucky and southern Indiana made this episode the most prolific regional January tornado outbreak recorded.",24
354253,ALLEN CO.,CLARE,01/17/2012,1220,Tornado, ,EF2,0,0,10000,0,KY,CST-6, ,59156,C,3,LMK,0,0,NWS Storm Survey, ,5.26,150,2,WSW,1,ENE,ALONZO,01/17/2012,1231,36.7045,-86.4118,36.704,-86.3168,"A long tracked EF-2 tornado that started in Simpson County continued for another 5 and a quarter miles in Allen County. The twister entered Allen County where Highway 100 crosses Sulfur Fork Creek and uprooted many trees as it crossed over a rural area for several miles.  Before lifting, the tornado damaged some homes along Walker Chapel Road about one half mile south of Highway 100.","Low pressure moved across the southern Great Lakes during the morning hours on January 17th.  A strong cold front crossed southern Indiana during the early afternoon. Ahead of this boundary, a squall line fueled by temperatures in the lower 60s with dewpoints in the upper 50s moved across the Ohio River during the late morning. This line continued to the southeast, finally exiting central Kentucky near the lake Cumberland Area around mid-afternoon. This line of storms exhibited bowing segments and occasional mesovorticies that brought several tornadoes and scattered wind damage. The 9 tornadoes surveyed across both central Kentucky and southern Indiana made this episode the most prolific regional January tornado outbreak recorded.",25
354252,SIMPSON CO.,HICKORY FLAT,01/17/2012,1220,Tornado, ,EF0,0,0,75000,0,KY,CST-6, ,59156,C,213,LMK,0,0,NWS Storm Survey, ,2.96,150,2,SW,1,ENE,HIGHLAND,01/17/2012,1231,36.7019,-86.4652,36.7045,-86.4118,"This long tracked EF-2 tornado had a path length of over 8 miles, touching down in Simpson County and continuing through a portion of Allen County.  The twister moved from west to east, traveling 3 miles in Simpson County and 5 1/4 miles in Allen County. This tornado touched down near Hickory Flat Road just south of its intersection with Hickory Flat-Rapids Road.  A dozen trees were uprooted near its touchdown.  The most significant damage occurred near the intersection of McKendree Church Road and Highway 100 where a well constructed brick house completely lost its roof. Multiple barns, garages, and outbuildings were destroyed here as well.  Nearby, a complete roof of one outbuilding was thrown one half mile to the east.  Other significant damage was surveyed at the intersection of Highway 100 and Reeder School Road near the Simpson Allen County line.  One house had severe roof damage and an exterior wall blown out.  A jeep in the driveway was blown into the house.  A camper was blown from the driveway across the road with other debris scattered through the field beyond.","Low pressure moved across the southern Great Lakes during the morning hours on January 17th.  A strong cold front crossed southern Indiana during the early afternoon. Ahead of this boundary, a squall line fueled by temperatures in the lower 60s with dewpoints in the upper 50s moved across the Ohio River during the late morning. This line continued to the southeast, finally exiting central Kentucky near the lake Cumberland Area around mid-afternoon. This line of storms exhibited bowing segments and occasional mesovorticies that brought several tornadoes and scattered wind damage. The 9 tornadoes surveyed across both central Kentucky and southern Indiana made this episode the most prolific regional January tornado outbreak recorded.",26
